case_id,category,word,context,note,candidate,pos,model,score,rank,is_expected,top_candidate,top_is_expected,best_expected_rank,reciprocal_rank,expected_margin,error,error_message,latency_first_ms,latency_mean_ms,latency_min_ms,latency_p95_ms,repeats,model_load_seconds,embedding_dimension,max_sequence_length,parameter_count
animal_cat,basic synonym,cat,The cat sat on the mat.,A direct synonym should beat a related but narrower word and an unrelated animal.,kitten,n,MiniLM,0.869645357131958,1,False,kitten,False,3,0.3333333333333333,-0.15021920204162598,False,,74.43292500011012,30.397783599801187,18.37950200024352,63.570059599987864,5,1.8682173739998689,384,256,22713216
animal_cat,basic synonym,cat,The cat sat on the mat.,A direct synonym should beat a related but narrower word and an unrelated animal.,dog,n,MiniLM,0.7218878269195557,2,False,kitten,False,3,0.3333333333333333,-0.15021920204162598,False,,74.43292500011012,30.397783599801187,18.37950200024352,63.570059599987864,5,1.8682173739998689,384,256,22713216
animal_cat,basic synonym,cat,The cat sat on the mat.,A direct synonym should beat a related but narrower word and an unrelated animal.,feline,n,MiniLM,0.719426155090332,3,True,kitten,False,3,0.3333333333333333,-0.15021920204162598,False,,74.43292500011012,30.397783599801187,18.37950200024352,63.570059599987864,5,1.8682173739998689,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,depository,n,MiniLM,0.9209432005882263,1,False,depository,False,3,0.3333333333333333,-0.019319355487823486,False,,31.993145000342338,27.762458600227546,24.549687999751768,31.41916200038395,5,1.8682173739998689,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,fund,n,MiniLM,0.9185913801193237,2,False,depository,False,3,0.3333333333333333,-0.019319355487823486,False,,31.993145000342338,27.762458600227546,24.549687999751768,31.41916200038395,5,1.8682173739998689,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,shore,n,MiniLM,0.9016238451004028,3,True,depository,False,3,0.3333333333333333,-0.019319355487823486,False,,31.993145000342338,27.762458600227546,24.549687999751768,31.41916200038395,5,1.8682173739998689,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,levee,n,MiniLM,0.8706994652748108,4,False,depository,False,3,0.3333333333333333,-0.019319355487823486,False,,31.993145000342338,27.762458600227546,24.549687999751768,31.41916200038395,5,1.8682173739998689,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,lender,n,MiniLM,0.9552377462387085,1,True,lender,True,1,1.0,0.13049077987670898,False,,26.834100000087346,24.73730500005331,21.95116000075359,28.6471191995588,5,1.8682173739998689,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,financial institution,n,MiniLM,0.9490710496902466,2,True,lender,True,1,1.0,0.13049077987670898,False,,26.834100000087346,24.73730500005331,21.95116000075359,28.6471191995588,5,1.8682173739998689,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,embankment,n,MiniLM,0.8247469663619995,3,False,lender,True,1,1.0,0.13049077987670898,False,,26.834100000087346,24.73730500005331,21.95116000075359,28.6471191995588,5,1.8682173739998689,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,shore,n,MiniLM,0.8246771693229675,4,False,lender,True,1,1.0,0.13049077987670898,False,,26.834100000087346,24.73730500005331,21.95116000075359,28.6471191995588,5,1.8682173739998689,384,256,22713216
sunset,near synonym,sunset,"Watching the sunset, the two lovers sat together on the river bank.",Close synonyms should beat the antonym-like distractor.,nightfall,n,MiniLM,0.9254614114761353,1,False,nightfall,False,2,0.5,-0.0033176541328430176,False,,26.71675600049639,25.311215999863634,23.003837000032945,27.050817599774746,5,1.8682173739998689,384,256,22713216
sunset,near synonym,sunset,"Watching the sunset, the two lovers sat together on the river bank.",Close synonyms should beat the antonym-like distractor.,dusk,n,MiniLM,0.9221437573432922,2,True,nightfall,False,2,0.5,-0.0033176541328430176,False,,26.71675600049639,25.311215999863634,23.003837000032945,27.050817599774746,5,1.8682173739998689,384,256,22713216
